University,Country,Nobel Prizes,Turing Awards,Fields Medals,José Vasconcelos World Award of Education
ETH Zurich,Switzerland,4,1,1,0
EPFL,Switzerland,0,0,1,0
University of Copenhagen (KU),Denmark,4,1,0,0
University of Helsinki (HY),Finland,1,0,1,0
University of Cambridge,England,18,1,4,0
University of Oxford,England,10,3,2,0
University College London (UCL),England,6,0,1,0
Institut Polytechnique de Paris (IP Paris),France,3,0,0,0
Riga Technical University (RTU),Latvia,0,0,0,0
University of Tartu (UT),Estonia,0,0,0,0
