University,Country
Blekinge Institute of Technology (BTH),Sweden
Chalmers University of Technology,Sweden
Dalarna University,Sweden
Halmstad University,Sweden
Jönköping University,Sweden
Karlstad University,Sweden
KTH Royal Institute of Technology,Sweden
Kristianstad University,Sweden
Linnaeus University,Sweden
Linköping University,Sweden
Luleå University of Technology,Sweden
Lund University,Sweden
Malmö University,Sweden
Mid Sweden University,Sweden
Mälardalen University,Sweden
Örebro University,Sweden
Stockholm University,Sweden
Umeå University,Sweden
University of Gävle,Sweden
University of Gothenburg,Sweden
University West,Sweden
Uppsala University,Sweden
BI Norwegian Business School,Norway
Inland Norway University of Applied Sciences (INN),Norway
Molde University College,Norway
Nord University,Norway
Norwegian Defence Cyber Academy,Norway
Norwegian University of Science and Technology (NTNU),Norway
Oslo Metropolitan University (OsloMet),Norway
University of Agder (UiA),Norway
University of Bergen (UiB),Norway
University of Oslo (UiO),Norway
University of South-Eastern Norway (USN),Norway
University of Stavanger (UiS),Norway
University of Tromsø – Arctic University of Norway (UiT),Norway
Western Norway University of Applied Sciences (HVL),Norway
Østfold University College,Norway
Aalborg University (AAU),Denmark
Aarhus University (AU),Denmark
Copenhagen Business School (CBS),Denmark
IT University of Copenhagen (ITU),Denmark
Roskilde University (RUC),Denmark
Technical University of Denmark (DTU),Denmark
University College Absalon,Denmark
University College Lillebaelt,Denmark
University of Copenhagen (KU),Denmark
University of Southern Denmark (SDU),Denmark
VIA University College,Denmark
Danish Defence Academy (FAK),Denmark
Reykjavik University (RU),Iceland
University of Akureyri (UNAK),Iceland
University of Iceland (HÍ),Iceland
Bifröst University,Iceland
Iceland University of the Arts (LHÍ),Iceland
Aalto University,Finland
University of Helsinki (HY),Finland
University of Turku (UTU),Finland
Tampere University (TAU),Finland
LUT University (Lappeenranta-Lahti University of Technology),Finland
University of Oulu,Finland
Åbo Akademi University,Finland
University of Eastern Finland (UEF),Finland
University of Jyväskylä (JYU),Finland
University of Vaasa,Finland
Novia University of Applied Sciences,Finland
Metropolia University of Applied Sciences,Finland
Oulu University of Applied Sciences (OAMK),Finland
Turku University of Applied Sciences (TUAS),Finland
University of Tartu (UT),Estonia
Tallinn University of Technology (TalTech),Estonia
Tallinn University (TLÜ),Estonia
Estonian Entrepreneurship University of Applied Sciences (EUAS),Estonia
Estonian Business School (EBS),Estonia
University of Latvia (LU),Latvia
Riga Technical University (RTU),Latvia
Riga Stradiņš University (RSU),Latvia
Latvia University of Life Sciences and Technologies (LLU),Latvia
Liepaja University,Latvia
Ventspils University of Applied Sciences (VeUAS),Latvia
Vilnius University (VU),Lithuania
Kaunas University of Technology (KTU),Lithuania
Vilnius Gediminas Technical University (VILNIUS TECH),Lithuania
Mykolas Romeris University (MRU),Lithuania
Šiauliai University,Lithuania
Kaunas University of Applied Sciences (KUAS),Lithuania
Klaipėda State University of Applied Sciences,Lithuania
University of Bath,England
University of Birmingham,England
University of Bristol,England
Brunel University London,England
University of Cambridge,England
Durham University,England
University of Exeter,England
Imperial College London,England
King’s College London,England
Lancaster University,England
University of Leeds,England
University of Liverpool,England
University of Manchester,England
Newcastle University,England
University of Nottingham,England
University of Oxford,England
Queen Mary University of London,England
University of Sheffield,England
University of Southampton,England
University College London (UCL),England
University of Warwick,England
University of York,England
Atlantic Technological University (ATU),Ireland
Cork Institute of Technology (CIT) / Munster Technological University (MTU),Ireland
Dublin City University (DCU),Ireland
Dundalk Institute of Technology (DkIT),Ireland
Maynooth University (MU),Ireland
National College of Ireland (NCI),Ireland
South East Technological University (SETU),Ireland
Technological University Dublin (TU Dublin),Ireland
Trinity College Dublin (TCD),Ireland
University College Cork (UCC),Ireland
University College Dublin (UCD),Ireland
University of Galway (NUIG),Ireland
University of Limerick (UL),Ireland
Technical University of Munich (TUM),Germany
RWTH Aachen University,Germany
Karlsruhe Institute of Technology (KIT),Germany
Technical University of Berlin (TU Berlin),Germany
Technical University of Darmstadt (TU Darmstadt),Germany
Technical University of Dresden (TU Dresden),Germany
Heidelberg University,Germany
Ludwig Maximilian University of Munich (LMU),Germany
Saarland University,Germany
University of Stuttgart,Germany
University of Bonn,Germany
University of Freiburg,Germany
University of Hamburg,Germany
Friedrich-Alexander University Erlangen-Nürnberg (FAU),Germany
Technical University of Dortmund,Germany
University of Tübingen,Germany
Technical University of Braunschweig,Germany
Hochschule Darmstadt (h_da),Germany
University of Passau,Germany
Otto von Guericke University Magdeburg,Germany
École Normale Supérieure (ENS Paris),France
École Polytechnique (L’X),France
Grenoble Alpes University (UGA),France
Institut Polytechnique de Paris (IP Paris),France
Inria,France
Sorbonne University,France
Université Paris-Saclay,France
University of Lyon,France
University of Strasbourg,France
Télécom SudParis,France
École des Ponts ParisTech,France
Aix-Marseille University,France
ETH Zurich,Switzerland
EPFL,Switzerland
University of Zurich (UZH),Switzerland
University of Geneva (UNIGE),Switzerland
University of Bern,Switzerland
University of Basel,Switzerland
University of St. Gallen (HSG),Switzerland
Università della Svizzera italiana (USI),Switzerland
Zurich University of Applied Sciences (ZHAW),Switzerland
HES-SO (University of Applied Sciences Western Switzerland),Switzerland
Delft University of Technology (TU Delft),Netherlands
Eindhoven University of Technology (TU/e),Netherlands
University of Amsterdam (UvA),Netherlands
Utrecht University (UU),Netherlands
Leiden University,Netherlands
University of Twente (UT),Netherlands
Vrije Universiteit Amsterdam (VU),Netherlands
Radboud University,Netherlands
Maastricht University,Netherlands
The Hague University of Applied Sciences,Netherlands
Politecnico di Milano,Italy
Sapienza University of Rome,Italy
University of Bologna (UniBo),Italy
Politecnico di Torino,Italy
University of Padua (UniPD),Italy
University of Pisa (UniPi),Italy
University of Trento,Italy
University of Naples Federico II,Italy
University of Milan (UniMi),Italy
Scuola Superiore Sant’Anna,Italy
