University Name,Overall Satisfaction,Teaching Quality,Support Services,Campus Facilities
Chalmers Tekniska Högskola,High satisfaction rates,High,Some dissatisfaction,No data,
University of Gothenburg,89% happy or very happy,89% satisfied or very satisfied,Some dissatisfaction,No data,
KTH,Data not available,Data not available,Data not available,Data not available,
Norwegian University of Science and Technology ,80% ,70% , 76% ,72% 
Universitat Politècnica de València,Data not available,Data not available,Data not available,Data not available,
Gdańsk University of Technology,Data not available,Data not available,Data not available,Data not available,
Politechnika Warszawska,Data not available,Data not available,Data not available,Data not available,
Politecnico di Milano,Data not available,Data not available,Data not available,Data not available,
Rheinisch-Westfälische Technische Hochschule Aachen,High (92% recommend),Data not available,Data not available,Data not available,
Technische Universität Berlin,High,Data not available,Data not available,Data not available,
