University,Country,Student-to-Teacher Ratio
Chalmers University of Technology,Sweden,11.1
University of Gothenburg,Sweden,11.5
KTH Royal Institute of Technology,Sweden,15.6
Norwegian University of Science and Technology,Norway,14.8
Universitat Politècnica de València,Spain,15.2
Gdańsk University of Technology,Poland,19.8
Warsaw University of Technology,Poland,10.9
Politecnico di Milano,Italy,24.4
Rheinisch-Westfälische Technische Hochschule Aachen,Germany,37.1
Technische Universität Berlin,Germany,48.2
Technical University of Munich,Germany,41.8
ETH Zurich,Switzerland,15.8
EPFL,Switzerland,12.5
University of Copenhagen,Denmark,4.2
University of Helsinki,Finland,16.5
University of Cambridge,England,11.5
University of Oxford,England,10.8
University College London,England,11.1
Institut Polytechnique de Paris,France,6.7
Riga Technical University,Latvia,31.3
University of Tartu,Estonia,8.6
