University, Total Students, % International Students
Chalmers University of Technology (Sweden), 10.999, 17
University of Gothenburg (Sweden), 57.959, 13
KTH Royal Institute of Technology (Sweden), 13.955, 26
Norwegian University of Science and Technology (Norway), 43.550, 9
Universitat Politècnica de València (Spain), 28.000 , 15
Gdańsk University of Technology (Poland), 15.622, 7
Warsaw University of Technology (Poland), 20.851, 8
Politecnico di Milano (Italy), 48.383, 18
RWTH Aachen University (Germany), 44.892, 34
Technische Universität Berlin (Germany), 33.933, 28
Technical University of Munich (Germany), 52.931, 45
ETH Zurich (Switzerland), 25.380, 35
EPFL (Switzerland), 13.445, 64
University of Copenhagen (Denmark), 36.528, 15
University of Helsinki (Finland), 31.465, 6
University of Cambridge (England), 24.000, 38
University of Oxford (England), 26.595, 46
University College London (England), 51.058, 54
Institut Polytechnique de Paris (France), 10.000, 41
Riga Technical University (Latvia), 14.000, 29
University of Tartu (Estonia), 15.206, 10
